atlas_grid_id,native_grid_id,grid_size_m,source_crs,grid_reference_year,statistics_reference_year,indicator_code,population_total,population_status,sgis_adm_cd,sgis_adm_nm,sgis_sigungu_cd,sgis_sigungu_nm,sgis_sido_cd,sgis_sido_nm,partition
sgis:100m:다사513336,다사513336,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사514333,다사514333,100,EPSG:5179,2025,2024,to_in_001,167,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사514334,다사514334,100,EPSG:5179,2025,2024,to_in_001,262,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사514335,다사514335,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사514336,다사514336,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사515331,다사515331,100,EPSG:5179,2025,2024,to_in_001,269,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사515332,다사515332,100,EPSG:5179,2025,2024,to_in_001,235,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사515333,다사515333,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사515334,다사515334,100,EPSG:5179,2025,2024,to_in_001,887,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사515335,다사515335,100,EPSG:5179,2025,2024,to_in_001,281,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사515336,다사515336,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516329,다사516329,100,EPSG:5179,2025,2024,to_in_001,232,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516330,다사516330,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516331,다사516331,100,EPSG:5179,2025,2024,to_in_001,666,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516332,다사516332,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516333,다사516333,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516334,다사516334,100,EPSG:5179,2025,2024,to_in_001,346,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516335,다사516335,100,EPSG:5179,2025,2024,to_in_001,575,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사516336,다사516336,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517326,다사517326,100,EPSG:5179,2025,2024,to_in_001,23,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517327,다사517327,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517328,다사517328,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517329,다사517329,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517330,다사517330,100,EPSG:5179,2025,2024,to_in_001,350,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517331,다사517331,100,EPSG:5179,2025,2024,to_in_001,748,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517332,다사517332,100,EPSG:5179,2025,2024,to_in_001,376,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517333,다사517333,100,EPSG:5179,2025,2024,to_in_001,253,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517334,다사517334,100,EPSG:5179,2025,2024,to_in_001,181,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517335,다사517335,100,EPSG:5179,2025,2024,to_in_001,465,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517336,다사517336,100,EPSG:5179,2025,2024,to_in_001,212,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사517337,다사517337,100,EPSG:5179,2025,2024,to_in_001,178,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518325,다사518325,100,EPSG:5179,2025,2024,to_in_001,204,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518326,다사518326,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518327,다사518327,100,EPSG:5179,2025,2024,to_in_001,1450,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518328,다사518328,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518329,다사518329,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518330,다사518330,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518331,다사518331,100,EPSG:5179,2025,2024,to_in_001,763,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518332,다사518332,100,EPSG:5179,2025,2024,to_in_001,582,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518333,다사518333,100,EPSG:5179,2025,2024,to_in_001,195,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518334,다사518334,100,EPSG:5179,2025,2024,to_in_001,608,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518335,다사518335,100,EPSG:5179,2025,2024,to_in_001,576,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518336,다사518336,100,EPSG:5179,2025,2024,to_in_001,471,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사518337,다사518337,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519325,다사519325,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519326,다사519326,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519327,다사519327,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519328,다사519328,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519329,다사519329,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519330,다사519330,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519331,다사519331,100,EPSG:5179,2025,2024,to_in_001,357,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519332,다사519332,100,EPSG:5179,2025,2024,to_in_001,592,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519333,다사519333,100,EPSG:5179,2025,2024,to_in_001,430,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519334,다사519334,100,EPSG:5179,2025,2024,to_in_001,528,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519335,다사519335,100,EPSG:5179,2025,2024,to_in_001,500,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519336,다사519336,100,EPSG:5179,2025,2024,to_in_001,631,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519337,다사519337,100,EPSG:5179,2025,2024,to_in_001,201,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사519338,다사519338,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520325,다사520325,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520326,다사520326,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520327,다사520327,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520328,다사520328,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520329,다사520329,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520330,다사520330,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520331,다사520331,100,EPSG:5179,2025,2024,to_in_001,199,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520332,다사520332,100,EPSG:5179,2025,2024,to_in_001,311,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520333,다사520333,100,EPSG:5179,2025,2024,to_in_001,760,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520334,다사520334,100,EPSG:5179,2025,2024,to_in_001,677,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520335,다사520335,100,EPSG:5179,2025,2024,to_in_001,560,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520336,다사520336,100,EPSG:5179,2025,2024,to_in_001,206,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520337,다사520337,100,EPSG:5179,2025,2024,to_in_001,190,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사520338,다사520338,100,EPSG:5179,2025,2024,to_in_001,175,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사521326,다사521326,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사521327,다사521327,100,EPSG:5179,2025,2024,to_in_001,711,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사521328,다사521328,100,EPSG:5179,2025,2024,to_in_001,556,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사521329,다사521329,100,EPSG:5179,2025,2024,to_in_001,67,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사521330,다사521330,100,EPSG:5179,2025,2024,to_in_001,,no-stat-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
sgis:100m:다사521331,다사521331,100,EPSG:5179,2025,2024,to_in_001,390,explicit-row,31042580,부림동,31042,안양시 동안구,31,경기도,다사
